The matrix U having left singular vectors is:
[matrix size: 60x3; n_nonzero: 180; density: 100.00%]

    (41, 0)         0.0686
    (42, 0)         0.0041
    (43, 0)        -0.0833
    (44, 0)         0.0654
    (45, 0)         0.0115
    (46, 0)        -0.0775
    (47, 0)         0.0676
    (48, 0)         0.0111
    (49, 0)        -0.0721
    (50, 0)         0.0678
    (51, 0)         0.0140
    (52, 0)        -0.0804
    (53, 0)         0.0585
    (54, 0)         0.0113
    (55, 0)        -0.0801
    (56, 0)         0.0628
    (57, 0)         0.0148
    (58, 0)        -0.0743
    (59, 0)         0.0597
    (60, 0)         0.0125
    (61, 0)        -0.0822
    (62, 0)         0.0677
    (63, 0)         0.0133
    (64, 0)        -0.0825
    (65, 0)         0.0582
    (66, 0)         0.0140
    (67, 0)        -0.0760
    (68, 0)         0.0678
    (69, 0)         0.0141
    (70, 0)        -0.0715
    (71, 0)         0.0712
    (72, 0)         0.0135
    (73, 0)        -0.0683
    (74, 0)         0.0623
    (75, 0)         0.0059
    (76, 0)        -0.0790
    (77, 0)         0.0704
    (78, 0)         0.0145
    (79, 0)        -0.0822
    (80, 0)         0.0705
    (81, 0)         0.0101
    (82, 0)        -0.0806
    (83, 0)         0.0679
    (84, 0)         0.0191
    (85, 0)        -0.0803
    (86, 0)         0.0702
    (87, 0)         0.0095
    (88, 0)        -0.0797
    (89, 0)         0.0719
    (90, 0)         0.0120
    (91, 0)        -0.0823
    (92, 0)         0.0649
    (93, 0)         0.0135
    (94, 0)        -0.0677
    (95, 0)         0.0587
    (96, 0)         0.0134
    (97, 0)        -0.0807
    (98, 0)         0.0686
    (99, 0)         0.0156
   (100, 0)        -0.0588
   (101, 0)         0.0705
   (102, 0)         0.0204
   (103, 0)        -0.0813
   (104, 0)         0.0671
   (105, 0)         0.0143
   (106, 0)        -0.0714
   (107, 0)         0.0657
   (108, 0)         0.0128
   (109, 0)        -0.0814
   (110, 0)         0.0672
   (111, 0)         0.0127
   (112, 0)        -0.0695
   (113, 0)         0.0701
   (114, 0)         0.0140
   (115, 0)        -0.0807
